PUBLICATION_DATE,UID,SITE_ID,DATE_COL,YEAR,VISIT_NO,STUDY,PSTL_CODE,INDEX_NCCA15,NCCA_REG,LAB,BATCH_ID,ANALYTE,DATE_ANALYZED,DATE_RECEIVED,LAB_SAMPLE_ID,LRL,MDL,METHOD,NARS_FLAG,NARS_COMMENT,RESULT,RESULT_UNITS,SAMPLE_ID
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/5/2015,1520006,,0.002,,,,12.295,MG/L,776502
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150612.1,CHLA,6/12/2015,6/5/2015,1520006,,0.09,,,,0.53,UG/L,776501
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/5/2015,1520006,,0.003,,,,21.297,MG/L,776502
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/5/2015,1520006,,,,,,0.249,MG N/L,776502
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/5/2015,1520006,,0.002,,,,0.444,MG/L,776500
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/5/2015,1520006,,,,,,0.002,MG N/L,776502
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/5/2015,1520006,,0.0012,,,,0.00494,MG P/L,776502
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/5/2015,1520008,,0.003,,,,0.004,MG N/L,776542
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/5/2015,1520008,,0.002,,,,0.434,MG/L,776540
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150605.1,COND,6/5/2015,6/5/2015,1520008,,,,,,279,US/CM AT 25 C,776540
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/5/2015,1520008,,,,,,0.003,MG N/L,776542
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150612.1,CHLA,6/12/2015,6/5/2015,1520008,,0.09,,,,0.21,UG/L,776541
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/5/2015,1520008,,0.0012,,,,0.005036,MG P/L,776542
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/5/2015,1520008,,9.00E-04,,,,5.20E-03,MG/L,776540
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.261,MG/L,
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/5/2015,1520008,,,,,,0.254,MG N/L,776542
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/5/2015,1520008,,0.002,,,,12.103,MG/L,776542
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150605.1,PH,6/5/2015,6/5/2015,1520008,,,,,,7.94,STD. UNITS,776540
4/29/2021,167530,GLBA15-3221,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/5/2015,1520008,,0.003,,,,21.719,MG/L,776542
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/6/2015,1520009,,0.002,,,,0.514,MG/L,776180
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/6/2015,1520009,,,,,,0.002,MG N/L,776182
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/6/2015,1520009,,,,,,0.288,MG N/L,776182
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/6/2015,1520009,,0.0012,,,,0.006821,MG P/L,776182
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/6/2015,1520009,,0.002,,,,13.383,MG/L,776182
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.296,MG/L,
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/6/2015,1520009,,9.00E-04,,,,0.0086,MG/L,776180
